nome,categoria,prezzo,costo,unita,barcode,stock,stock_alert
OG Kush Premium,flowers,12.00,5.00,g,8901234567890,50,10
Afghan Hash,hashish,15.00,6.00,g,8901234567891,40,8
CBD Oil 10%,oils,29.90,12.00,pz,8901234567892,20,5
Rolling Papers King Size,accessories,2.50,0.80,pz,8901234567893,100,20
Grinder Silver,accessories,15.00,6.00,pz,8901234567894,15,3
Amnesia Haze,flowers,14.00,6.00,g,,30,8
White Widow,flowers,11.00,4.50,g,,35,10
CBD Hash,hashish,8.00,3.00,g,,60,15
Lemon Haze,flowers,13.00,5.50,g,,25,8
Tisana Canapa,edibles,9.90,3.50,pz,,20,5
